INSTID,SCHLYR,DISTNM,ADMCNT,DISTADMPCT,PLTADMPCT,STUDENRCNT,STSTUDENRCNT,SPLEDSTUDCNT,DISTSPLEDPCT,PLTSPLEDPCT,ESLSTUDCNT,DISTESLPCT,PLTESLPCT,TEENPARCNT,DISTTEENPARPCT,PLTTEENPARPCT,NEGLFOSCARESTUDCNT,DISTNEGLFOSCAREPCT,PLTNEGLFOSCAREPCT,STUDINPVTYCNT,DISTSTUDINPVTYPCT,PLTSTUDINPVTYPCT,HOMESCHLSTUDCNT,DISTHOMESCHLPCT,PLTHOMESCHLPCT,PRIVSCHLSTUDCNT,DISTPRIVSCHLPCT,PLTPRIVSCHLPCT,MnrtyStudCnt,DistMnrtyStudPct,StMnrtyStudPct,DistYr178DropOutPct,StYr178DropOutPct,DistYr1912DropOutPct,StYr1912DropOutPct,DistYr4DropOutPct,StYr4DropOutPct,HHINCMAMT,STHHINCMAMT,HHWCHLDPCT,STHHWCHLDPCT,POPCMPLTHSPCT,STPOPCMPLTHSPCT,POPATTDCLGPCT,STPOPATTDCLGPCT,DISTTOTFTE,PLTTOTFTE,LICSTFFTE,DISTLICSTFPCT,PLTLICSTFPCT,INSTRASSTFTE,DISTINSTRASSTPCT,PLTINSTRASSTPCT,SCHLADMINFTE,DISTSCHLADMINPCT,PLTSCHLADMINPCT,CNTLADMINFTE,DISTCNTLADMINPCT,PLTCNTLADMINPCT,CLSFSUPPSTFFTE,DISTCLSFSUPPSTFPCT,PLTCLSFSUPPSTFPCT,DIRCLSRMAMT,STDIRCLSRMAMT,CLSRMSUPPAMT,STCLSRMSUPPAMT,BLDGSUPPAMT,STBLDGSUPPAMT,CNTLSUPPAMT,STCNTLSUPPAMT,GENFUNDOPCOST,STGENFUNDOPCOST,DirClsRmTotAmt,DirClsRmStTotAmt,ClsRmSuppTotAmt,ClsRmSuppStTotAmt,BldgSuppTotAmt,BldgSuppStTotAmt,CntlSuppTotAmt,CntlSuppStTotAmt,TotAmt,StTotAmt,AVGCLSSZ,STAVGCLSSZ,STUDPTCHRAMT,STSTUDPTCHRAMT,OPENENRFLG,STUDPCOMPAMT,STSTUDPCOMPAMT,STUDPNETCONNAMT,STSTUDPNETCONNAMT,SES3GrdRng,SES5GrdRng,SES8GrdRng,SES10GrdRng,BldgUnder11Cnt,Bldg11to20Cnt,Bldg21to30Cnt,Bldg31to40Cnt,Bldg41to50Cnt,Bldg51to60Cnt,BldgOver60Cnt,InstrDayKCnt,InstrDay1Cnt,InstrDay2Cnt,InstrDay3Cnt,InstrDay4Cnt,InstrDay5Cnt,InstrDay6Cnt,InstrDay7Cnt,InstrDay8Cnt,InstrDay9Cnt,InstrDay10Cnt,InstrDay11Cnt,InstrDay12Cnt,StInstrDayKAvg,StInstrDay1Avg,StInstrDay2Avg,StInstrDay3Avg,StInstrDay4Avg,StInstrDay5Avg,StInstrDay6Avg,StInstrDay7Avg,StInstrDay8Avg,StInstrDay9Avg,StInstrDay10Avg,StInstrDay11Avg,StInstrDay12Avg,Read3GrdAtAbvPct,Read5GrdAtAbvPct,Read8GrdAtAbvPct,Read10GrdAtAbvPct,StRead3GrdAtAbvPct,StRead5GrdAtAbvPct,StRead8GrdAtAbvPct,StRead10GrdAtAbvPct,Writ5GrdAtAbvPct,Writ8GrdAtAbvPct,Writ10GrdAtAbvPct,StWrit5GrdAtAbvPct,StWrit8GrdAtAbvPct,StWrit10GrdAtAbvPct,Math3GrdAtAbvPct,Math5GrdAtAbvPct,Math8GrdAtAbvPct,Math10GrdAtAbvPct,StMath3GrdAtAbvPct,StMath5GrdAtAbvPct,StMath8GrdAtAbvPct,StMath10GrdAtAbvPct,Prob5GrdAtAbvPct,Prob8GrdAtAbvPct,Prob10GrdAtAbvPct,StProb5GrdAtAbvPct,StProb8GrdAtAbvPct,StProb10GrdAtAbvPct,last column
1894,"7/1/1999","BAKER SCH DIST 05J",2203.3,95.09,95.11,2317,545085,281,12.13,11.32,,,,,,,14,0.6,0.29,384,16.57,14.31,,,,25,1.08,7.12,123,5.31,18,1.89,1.13,3.94,6.3,10.56,18.37,30630,53699,32.48,34.4,50.6,81.48,27.66,52.55,262.9,55282.8,145.7,55.42,55.11,33.3,12.67,14.08,8.4,3.2,2.93,3,1.14,1.42,72.5,27.58,26.45,3929.918679,3420.96401,1021.72047,1082.570434,981.47104,1001.0682,323.520975,282.780827,6256.631164,5787.383473,4137.529072,3736.753912,1229.501225,1239.991766,1350.542291,1270.376076,335.798899,298.775495,7053.371487,6545.897251,21.26,22.83,17.86,19.54,"Yes",5.04,5.88,9.46,7.52,,,,,,0,0,1,6,3,5,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,91,86,76,61,82,74,64,52,59,82,86,65,66,77,95,84,65,42,75,69,56,40,66,54,42,64,55,45,-
1894,"7/1/2000","BAKER SCH DIST 05J",2250.6,96.06,95.58,2343,545680,338,14.43,12.42,,,,3,0.13,0.31,21,0.9,0.15,378,16.13,14.38,,,,14,0.6,28.33,186,7.94,20.86,0.54,0.83,2.2,5.25,8.97,15.67,,,28.92,30.8,76.04,,38.25,,277.7,55896.6,148.1,53.33,55.04,45,16.2,14.51,8.5,3.06,2.92,4,1.44,1.5,72.1,25.96,26.03,3711.429214,3578.414585,1016.98288,1134.431819,837.941536,1043.786027,345.624861,291.238395,5911.978491,6047.870827,4054.205066,3947.282717,1333.364383,1347.506967,1247.207511,1351.411667,463.684268,328.390216,7098.461228,6974.591568,22.67,22.61,17.74,19.36,"Yes",4.7,5.73,4.85,5.99,,,,,,0,0,1,6,3,5,172,173,173,173,173,173,173,173,172,,173,172,172,172,173,173,173,173,173,173,173,172,,173,172,172,91,84,62,54,84,77,62,53,67,72,82,64,68,79,84,87,56,46,75,73,56,42,74,56,53,76,58,57,-
1894,"7/1/2001","Baker SD 5J",2218.7,100.9,95.5,2199,551679,302,13.73,12.74,16,0.72,8.99,18,0.81,0.31,36,1.64,0.68,373,16.96,14.31,233,10.6,3.66,17,0.77,6.73,146,6.64,22.29,1.97,0.69,0.57,4.86,1.66,13.86,,,28.92,30.8,76.04,,38.25,,266,56601.5,138.3,51.99,54.42,42.1,15.83,14.94,7.5,2.82,2.9,5,1.88,1.39,73.1,27.48,26.35,3790.059386,3663.047792,1043.162705,1165.20201,953.893733,1087.937936,554.317639,296.942721,6341.433463,6213.130461,4117.406216,4067.62765,1275.235402,1433.480002,1251.604802,1391.866605,685.74713,321.959583,7329.99355,7214.933842,21.96,22.71,17.82,19.55,"Yes",5.19,5.94,5.19,,,,,,,0,0,1,2,4,7,174,174,174,174,174,174,174,174,173,,174,173,173,174,174,174,174,174,174,174,174,173,,174,173,173,88.41,88.38,52.11,73.98,85.07,78.98,64.19,53.14,73.44,80.17,96.58,69.19,66.28,78.79,84.85,95.38,56.84,57.34,76.81,75.25,56.37,44.73,72.73,39.65,69.06,61.88,51.9,49.62,-
1894,"7/1/2002","Baker SD 5J",2187.1,101.68,95.53,2151,554071,317,14.74,12.89,19,0.87,9.39,16,0.73,0.31,15,0.7,0.1,,,,,,,,,6.33,165,7.67,23.66,1.9,,1.6,4.4,6,12.2,,,,,,,,,238,54650.1,120.1,50.46,54.28,42.6,17.9,15.23,6.5,2.73,2.92,2.5,1.05,1.22,66.3,27.86,26.35,3616.707838,3558.128021,1007.051943,1105.710112,934.919274,1044.12508,480.509576,300.078602,6039.188631,6008.041817,3938.030404,3972.356403,1222.394481,1406.176936,1220.372264,1340.382984,644.785769,324.706771,7025.582918,7043.623095,24.83,23.06,19.82,20.33,"Yes",4.97,6.27,5.09,,,,,,,0,0,0,0,0,0,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,88.65,88.31,80.98,68.63,86.22,80.41,63.42,53.57,,,88.82,,,81.7,89.44,92.9,84.14,64.33,79.43,79.26,61.48,46.23,,,71.23,,,51.3,-
1894,"7/1/2003","Baker SD 5J",2125.18,100.48,95.55,2115,551410,347,16.41,12.68,20,0.94,10.05,4,0.19,0.27,19,0.9,0.09,,,,,,,,,,176,8.32,24.85,,0.6,0.6,4.6,1.8,12.6,,,,,,,,,228.3,53851.7,115.4,50.55,54.02,40.9,17.92,15.72,6,2.63,2.86,3,1.31,1.14,63,27.6,26.26,3502.96991,3615.516357,943.499427,1080.447678,1103.839664,1091.510161,492.430652,316.585551,6042.739653,6104.05975,3925.768784,4069.54675,1396.846378,1394.602386,1628.039366,1418.15316,524.701413,346.091873,7475.355941,7228.39417,24.3,23.82,20.28,20.55,,4.96,5.77,4.96,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.47,84,67.7,57.9,,,,,68,78.43,77.31,,,,88.1,92.05,73.13,52.54,,,,,53.41,37.01,,,,,-
1894,"7/1/2004","Baker SD 5J",1978.27,96.27,94.57,2055,552339,317,15.43,12.74,20,1.01,10.35,6,0.3,0.22,,,,,,,,,,,,,191,9.29,27.44,,0.4,0.1,4.2,0.6,11.3,,,,,,,,,231.5,55307,116.5,50.32,53.48,39.5,17.06,16.56,6.3,2.72,2.84,4.3,1.86,1.15,64.9,28.03,25.97,3705.941313,3769.575188,1053.156559,1135.173281,1280.955294,1161.77714,440.853352,331.290935,6480.906518,6397.816545,4154.899552,4276.285699,1572.799596,1485.124849,1633.51708,1508.631223,443.682,357.749569,7804.898228,7627.791341,24.77,23.64,19.48,20.27,,4.65,4.84,4.65,,"237-468","87-396","130-130","18-210",,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.24,87.12,68.57,75,88.78,85.08,65.03,55.79,,,87.76,,,78.86,91.94,88.49,72.15,69.45,88.09,86.47,65.92,48.68,,,,,,,-
1894,"7/1/2005","Baker SD 5J",1938.45,96.49,94.78,2009,559254,290,14.44,12.63,19,0.98,10.27,8,0.41,0.23,,,,,,,,,,,,,168,8.36,27.58,0,0.4,0.3,4.1,0,13.7,,,,,,,,,230.2,56575.7,113.8,49.44,53.28,40,17.38,16.51,6.5,2.82,2.92,4.5,1.95,1.17,65.4,28.41,26.12,3932.201184,4005.379562,1128.542543,1214.87737,1393.009591,1242.443506,446.913673,328.162831,6900.666991,6790.86327,4384.851637,4546.761197,1730.818451,1593.279422,1842.827217,1617.38462,449.216978,358.548566,8407.714283,8115.973808,24.2,23.6,19.54,20.09,,5.37,,5.81,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.99,93.1,71.43,71.81,90.13,86.23,68.34,57.36,,,88.08,,,76.98,95.49,92.16,71.92,55.92,88.15,87.2,68.01,46.89,,,,,,,-
1894,"7/1/2006","Baker SD 5J",,,,2007,562828,279,13.9,12.62,,,,,,,,,,,,,,,,,,,175,8.72,29.41,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,4122.623587,4237.396191,1265.289526,1297.259921,1588.936836,1302.577587,451.664409,348.481508,7428.514358,7185.715208,4560.15427,4777.123807,1901.560861,1685.248519,2058.423931,1675.364305,457.213223,380.772109,8977.352285,8518.508743,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
1894,"7/1/2007","Baker SD 5J",,,,1979,566067,,,,,,,,,,,,,,,,,,,,,,179,9.04,30.64,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,4421.600247,4565.275658,1354.063446,1396.478018,1669.315103,1418.606667,485.049393,385.264495,7930.028189,7765.62484,5057.869403,5102.242765,2020.579257,1797.957197,2088.567443,1822.471957,492.918266,417.060486,9659.934369,9139.732407,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
1894,"7/1/2008","Baker SD 5J",,,,1901,564064,,,,,,,,,,,,,,,,,,,,,,206,10.84,31.19,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
