ParInstNm,InstID,InstNm,SchoolType,LoGrdOffrd,HiGrdOffrd,AypDesignation,SchlImprovDesig,OverallRatingCd,OverallRatingNote,DailyMmbrshpAvgAmt1,ESLStudPct,SchlAdmCnt,LcstfCnt,ExprYrAvgAmt,GradDgPct,NTchEmrProvCred,PClsByHiQTch,PClsByNotHiQTch,InstassCnt,SuppStfCnt,ClssSzLT21Cnt,ClssSzLT21Pct,StClssSzLT21Pct,ClssSz21Cnt,ClssSz21Pct,StClssSz21Pct,ClssSz26Cnt,ClssSz26Pct,StClssSz26Pct,ClssSz31Cnt,ClssSz31Pct,StClssSz31Pct,SatVrblScr,StSatVrblAvgScr,NtSatVrblAvgScr,SatMathScr,StSatMathAvgScr,NtSatMathAvgScr,SatWriteScr,StSatWriteAvgScr,NtSatWriteAvgScr,SatTkTestPct,StSatTkTestPct,SatTkTestCnt,StSatTkTestCnt,AttdPct2,DistAttdPct2,StAttdPct2,AttdPct1,DistAttdPct1,StAttdPct1,ExpulStudCnt,stExpulStudCnt,SchoolCharIndex,StateStdCondTestPct,GrdDIPStudCnt,StTotGrdDIPStudCnt,GradRate1,StTotGradRate,DrpoutStudCnt2,DrpOutPct2,DistDropoutPct2,StateDropoutPct2,DrpOutStudCnt1,DrpOutPct1,DistDropoutPct1,StateDropoutPct1,ReadStudExceedMeetAllGradePct2,ReadStudExceedMeetAllGradePct1,ReadCompSchoolAllGradePct,DistReadStudExceedMeetAllGradePct1,ReadGradesPerfStatePct1,MathStudExceedMeetAllGradePct2,MathStudExceedMeetAllGradePct1,MathCompSchoolAllGradePct,DistMathStudExceedMeetAllGradePct1,MathGradesPerfStatePct1,WriteStudExceedMeetAllGradePct2,WriteStudExceedMeetAllGradePct1,WriteCompSchoolAllGradePct,DistWriteStudExceedMeetAllGradePct1,WriteGradesPerfStatePct1,ScienceStudExceedMeetAllGradePct2,ScienceStudExceedMeetAllGradePct1,ScienceCompSchoolAllGradePct,DistScienceStudExceedMeetAllGradePct1,ScienceGradesPerfStatePct1
Adel SD 21,498,Adel Elementary School,E,4,8,M,--,Not Rated,J1,8,0,0,1,11,100,--,100,0,0,1,1,100,20.4,0,0,51.6,0,0,25.5,0,0,2.5,--,523,501,--,525,515,--,499,493,--,52,--,18016,92.6,94,94.5,95.7,95.2,94.7,0,282,100,98.8,0,34952,--,84,--,--,--,4.3,0,0,--,3.6,> 95,*,--,66.7,78,66.7,*,--,66.7,76.2,57.1,--,--,--,46.8,87.5,100,--,> 95,74.5
Adrian SD 61,707,Adrian Elementary School,E,KG,8,M,--,Satisfactory,,135,15.3,1,10.2,15,29.4,--,100,0,6.9,2,8,88.9,20.4,1,11.1,51.6,0,0,25.5,0,0,2.5,--,523,501,--,525,515,--,499,493,--,52,--,18016,95.2,95.2,94.5,96.1,96.5,94.7,0,282,99.1,98.8,0,34952,--,84,0,0,--,4.3,0,0,--,3.6,81.4,80.4,77.9,78.7,79,77.6,86,74.8,84.2,76.5,38.7,25,41.8,25,46.8,89.5,90.3,71.9,90.9,74.5
Adrian SD 61,708,Adrian High School,H,9,12,M,--,Not Rated,J1,96,17.8,0.5,7.7,14.9,50.5,--,84.8,15.2,1.8,2,0,--,20.4,0,--,51.6,0,--,25.5,0,--,2.5,460,523,501,517,525,515,450,499,493,32.1,52,9,18016,93.4,93.4,90.9,95,95,91.3,0,282,100,98.8,19,34952,100,84,0,0,0,4.3,0,0,0,3.6,70.6,80,69.3,80,67.3,52.9,65,53.8,65,55.2,52.9,70,54.8,70,56.2,76.5,95,59.6,95,59.1
Alsea SD 7J,16,Alsea Elementary School,E,KG,6,M,--,Satisfactory,,64,0,0,6.3,14.6,36.8,16.7,66.7,33.3,2.3,0.5,3,75,20.4,1,25,51.6,0,0,25.5,0,0,2.5,--,523,501,--,525,515,--,499,493,--,52,--,18016,92.3,92.3,94.5,93.3,93.5,94.7,0,282,97.7,98.8,0,34952,--,84,--,--,--,4.3,0,0,--,3.6,56.4,82.9,91.9,82.9,81.4,53.8,88.6,88.5,88.6,77,40,27.3,63.9,27.3,45.1,71.4,75,--,75,75.6
Alsea SD 7J,17,Alsea High School,H,7,12,M,--,Satisfactory,,65,0,0,4.5,12.1,81.3,--,70.4,29.6,0,0,0,--,20.4,0,--,51.6,0,--,25.5,0,--,2.5,558,523,501,533,525,515,505,499,493,54.5,52,6,18016,92.1,91.9,90.9,87.5,86.8,91.3,0,282,97.8,98.8,12,34952,100,84,0,0,0,4.3,0,0,0,3.6,34.6,54.8,75.3,54.8,72.1,42.3,41.9,71.3,41.9,68.7,50,25,52.9,25,52.3,35,62.5,70.9,62.5,66.4
Amity SD 4J,1208,Amity Elementary School,E,KG,5,N,SI1,Satisfactory,,323,8.2,1,19.9,12.6,28.1,--,100,0,6.5,9.7,5,31.3,20.4,10,62.5,51.6,1,6.3,25.5,0,0,2.5,--,523,501,--,525,515,--,499,493,--,52,--,18016,93.8,93.3,94.5,94.3,94.1,94.7,1,282,100,98.8,0,34952,--,84,--,--,--,4.3,0,0,--,3.6,82.5,72.8,85.3,70.6,82.5,61.4,59.8,79.7,57.8,78.1,35,49,43.5,47.3,45.1,56.6,71.4,81.6,70.1,75.6
Amity SD 4J,1210,Amity High School,H,9,12,M,--,Satisfactory,,253,2.7,1,15.6,12.4,32.5,--,93.9,6.1,3,6,0,--,20.4,0,--,51.6,0,--,25.5,0,--,2.5,492,523,501,479,525,515,489,499,493,19.1,52,13,18016,91.6,91.3,90.9,91.4,91,91.3,0,282,98.7,98.8,56,34952,91.8,84,6,2.1,2,4.3,5,1.8,1.8,3.6,58.1,60,71.3,58.8,67.3,45.2,48,59.4,47.1,55.2,41.9,41.7,58.5,40.8,56.2,51.6,56,63.6,54.9,59.1
Amity SD 4J,1209,Amity Middle School,M,6,8,M,--,Satisfactory,,177,5.3,0.7,11.9,16.4,15.4,--,97.3,2.7,1.8,4.4,0,--,20.4,0,--,51.6,0,--,25.5,0,--,2.5,--,523,501,--,525,515,--,499,493,--,52,--,18016,92.9,92.5,94.5,93.6,93.3,94.7,0,282,99.5,98.8,0,34952,--,84,--,--,--,4.3,0,0,--,3.6,60.7,68.9,77.7,66.7,75.5,61.9,68.7,76.6,65.4,74.8,59.2,74,49,71.2,48.4,57.6,71.7,78.4,70.7,73.3
Amity SD 4J,4505,Ballston Community School,H,KG,12,N,--,Not Rated,J1,21,0,1,3.2,2.6,68.4,--,100,0,0,1,2,100,20.4,0,0,51.6,0,0,25.5,0,0,2.5,--,523,501,--,525,515,--,499,493,--,52,--,18016,86.9,91.3,90.9,86.4,91,91.3,0,282,97.5,98.8,1,34952,100,84,0,0,2,4.3,0,0,1.8,3.6,26.7,16.7,--,67.4,77.4,13.3,< 5,--,59.8,73.5,0,0,--,53.2,49.8,37.5,0,--,65.9,69.5
Annex SD 29,705,Annex Elementary School,E,KG,8,M,--,Satisfactory,,46,27.8,0,4.5,19.3,44.4,--,100,0,2.3,2.6,2,66.7,20.4,1,33.3,51.6,0,0,25.5,0,0,2.5,--,523,501,--,525,515,--,499,493,--,52,--,18016,93.8,94.4,94.5,92.8,95.8,94.7,0,282,92.9,98.8,0,34952,--,84,0,0,--,4.3,0,0,--,3.6,41.9,65.7,68.6,62.2,79,35.5,60,67.7,56.8,76.5,16.7,12.5,33.3,12.5,46.8,68.8,33.3,61.3,42.9,74.5
Arlington SD 3,322,Arlington Elementary School,E,KG,8,M,--,Satisfactory,,73,0,0.3,7.5,16.7,40,--,100,0,2.5,3.5,6,100,20.4,0,0,51.6,0,0,25.5,0,0,2.5,--,523,501,--,525,515,--,499,493,--,52,--,18016,93.8,92.8,94.5,94.1,93.6,94.7,0,282,100,98.8,0,34952,--,84,--,--,--,4.3,0,0,--,3.6,94.9,81.5,81.8,81.5,79,92.3,72.2,78.7,72.2,76.5,33.3,50,49.9,50,46.8,84.6,100,73.2,> 95,74.5
Arlington SD 3,323,Arlington High School,H,9,12,M,--,Not Rated,J1,42,0,0.3,5.5,11,90.9,--,100,0,0,2,0,--,20.4,0,--,51.6,0,--,25.5,0,--,2.5,448,523,501,510,525,515,418,499,493,60,52,6,18016,93.4,93.4,90.9,95,95,91.3,0,282,100,98.8,5,34952,100,84,0,0,0,4.3,0,0,0,3.6,62.5,76.9,68.9,76.9,67.3,87.5,61.5,54,61.5,55.2,37.5,61.5,56.5,61.5,56.2,87.5,84.6,61.8,84.6,59.1
Arock SD 81,711,W W Jones Elementary School,E,KG,8,M,--,Not Rated,J1,17,0,0,0,--,--,--,100,0,1.5,0,9,100,20.4,0,0,51.6,0,0,25.5,0,0,2.5,--,523,501,--,525,515,--,499,493,--,52,--,18016,95.7,95.2,94.5,94.1,94.1,94.7,0,282,100,98.8,0,34952,--,84,--,--,--,4.3,0,0,--,3.6,> 95,> 95,--,> 95,79,92.3,90.9,--,90.9,76.5,100,66.7,--,66.7,46.8,100,100,--,> 95,74.5
Ashland SD 5,381,Ashland High School,H,9,12,M,--,Outstanding,,1021,1.3,3,57.5,15.5,65.2,2.2,89.1,10.9,5.9,20.1,0,--,20.4,0,--,51.6,0,--,25.5,0,--,2.5,576,523,501,578,525,515,552,499,493,50.6,52,133,18016,93.5,93.6,90.9,93.9,93.9,91.3,3,282,99.5,98.8,246,34952,93.2,84,21,1.9,1.9,4.3,18,1.7,1.6,3.6,86.7,86.3,78.2,85,67.3,72.2,72.2,68.1,70.2,55.2,88.3,69.5,70.5,67.7,56.2,78.6,68.3,70.8,66.4,59.1
Ashland SD 5,380,Ashland Middle School,M,6,8,M,--,Outstanding,,589,1.4,2,35.5,15.8,55.6,--,100,0,11.6,15.5,0,--,20.4,0,--,51.6,0,--,25.5,0,--,2.5,--,523,501,--,525,515,--,499,493,--,52,--,18016,93.9,94.1,94.5,93.9,94,94.7,0,282,99.6,98.8,0,34952,--,84,0,0,--,4.3,0,0,--,3.6,92.4,93.4,80.7,92.1,75.5,91.3,93.2,79.8,91.2,74.8,65.9,55,53.3,57.3,48.4,90.6,91.9,78.7,90,73.3
Ashland SD 5,375,Bellview Elementary School,E,KG,5,M,--,Outstanding,,262,0,1,17.4,10.3,53.1,--,96,4,13,2.7,3,23.1,20.4,6,46.1,51.6,4,30.8,25.5,0,0,2.5,--,523,501,--,525,515,--,499,493,--,52,--,18016,94.7,94.5,94.5,95,94.5,94.7,0,282,100,98.8,0,34952,--,84,--,--,--,4.3,0,0,--,3.6,93.6,88.9,86.9,87.1,82.5,90.1,87.6,83.1,82.9,78.1,65.5,75.5,48,52.7,45.1,86,92.7,81.5,88.8,75.6
