ParInstNm,InstID,InstNm,SchoolType,Subgroup,AsmntAchvExcdELA,AsmntAchvMeetELA,AsmntAchvNrmtELA,AsmntAchvExcdMTH,AsmntAchvMeetMTH,AsmntAchvNrmtELA,AsmntAchvExcdSCI,AsmntAchvMeetSCI,AsmntAchvNrmtSCI,AsmntPartELA,AsmntPartMTH,AsmntPartSCI,AYPAchvELA,AYPAchvMTH,AYPPartELA,AYPPartMTH,AYP Other (Attnd or Grad),ReadOnTrackPct2,ReadOnTrackPct1,MathOnTrackPct2,MathOnTrackPct1
Adel SD 21,498,Adel Elementary School,E,American Indian/Alaskan Native,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Adel SD 21,498,Adel Elementary School,E,Asian/Pacific Islander,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Adel SD 21,498,Adel Elementary School,E,Black,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Adel SD 21,498,Adel Elementary School,E,Hispanic,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Adel SD 21,498,Adel Elementary School,E,White,*,*,*,*,*,*,*,*,*,100,100,100,M,M,M,M,X,> 95,*,81.8,*
Adel SD 21,498,Adel Elementary School,E,Multi-Racial/Multi-Ethnic,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Adel SD 21,498,Adel Elementary School,E,Male,*,*,*,*,*,*,*,*,*,100,100,100,--,--,--,--,--,--,--,--,--
Adel SD 21,498,Adel Elementary School,E,Female,*,*,*,*,*,*,*,*,*,100,100,100,--,--,--,--,--,--,--,--,--
Adel SD 21,498,Adel Elementary School,E,Talented and Gifted,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Adel SD 21,498,Adel Elementary School,E,Students with Disabilities,*,*,*,*,*,*,*,*,*,100,100,100,X,X,X,X,X,*,*,*,*
Adel SD 21,498,Adel Elementary School,E,Migrant,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Adel SD 21,498,Adel Elementary School,E,Limited English Proficient,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Adel SD 21,498,Adel Elementary School,E,Economically Disadvantaged,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,--,--,--,--
Adel SD 21,498,Adel Elementary School,E,All Students,*,*,*,*,*,*,*,*,*,100,100,100,M,M,M,M,M,> 95,*,73.3,*
Adrian SD 61,707,Adrian Elementary School,E,American Indian/Alaskan Native,*,*,*,*,*,*,*,*,*,100,100,--,X,X,X,X,X,*,*,*,*
Adrian SD 61,707,Adrian Elementary School,E,Asian/Pacific Islander,--,--,--,--,--,--,--,--,--,0,--,--,X,X,X,X,X,*,*,*,*
Adrian SD 61,707,Adrian Elementary School,E,Black,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Adrian SD 61,707,Adrian Elementary School,E,Hispanic,0,66.7,33.3,6.7,73.3,20,0,66.7,33.3,100,100,100,X,X,X,X,X,61.5,73.3,61.5,93.3
Adrian SD 61,707,Adrian Elementary School,E,White,26.1,53.6,20.3,37.7,47.8,14.5,52.4,38.1,9.5,100,100,100,M,M,M,M,M,89,87,80.8,85.5
Adrian SD 61,707,Adrian Elementary School,E,Multi-Racial/Multi-Ethnic,33.3,33.3,33.3,57.1,42.9,0,*,*,*,100,100,100,X,X,X,X,X,62.5,83.3,77.8,> 95
Adrian SD 61,707,Adrian Elementary School,E,Male,21.2,48.1,30.8,37.7,49.1,13.2,61.9,19,19,98.1,100,100,--,--,--,--,--,--,--,--,--
Adrian SD 61,707,Adrian Elementary School,E,Female,22.5,62.5,15,27.5,57.5,15,10,90,0,100,100,100,--,--,--,--,--,--,--,--,--
Adrian SD 61,707,Adrian Elementary School,E,Talented and Gifted,> 95.0,> 95.0,< 5.0,> 95.0,> 95.0,< 5.0,*,*,*,85.7,100,100,--,--,--,--,--,--,--,--,--
Adrian SD 61,707,Adrian Elementary School,E,Students with Disabilities,4.3,21.7,73.9,16.7,50,33.3,42.9,28.6,28.6,95.8,100,100,X,M,M,M,X,50,56.5,52.6,66.7
Adrian SD 61,707,Adrian Elementary School,E,Migrant,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Adrian SD 61,707,Adrian Elementary School,E,Limited English Proficient,0,66.7,33.3,0,83.3,16.7,*,*,*,100,100,100,X,X,X,X,X,58.3,66.7,58.3,> 95
Adrian SD 61,707,Adrian Elementary School,E,Economically Disadvantaged,17.2,56.3,26.6,28.1,53.1,18.8,43.5,39.1,17.4,100,100,100,M,M,M,M,M,--,--,--,--
Adrian SD 61,707,Adrian Elementary School,E,All Students,21.7,54.3,23.9,33.3,52.7,14,45.2,41.9,12.9,98.9,100,100,M,M,M,M,M,82.5,83.7,78.6,88.2
Adrian SD 61,708,Adrian High School,H,American Indian/Alaskan Native,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Adrian SD 61,708,Adrian High School,H,Asian/Pacific Islander,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Adrian SD 61,708,Adrian High School,H,Black,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Adrian SD 61,708,Adrian High School,H,Hispanic,*,*,*,*,*,*,*,*,*,100,100,100,X,X,X,X,X,*,*,*,*
Adrian SD 61,708,Adrian High School,H,White,41.2,47.1,11.8,17.6,52.9,29.4,41.2,58.8,0,100,100,100,M,M,M,M,M,68.8,88.2,50,70.6
Adrian SD 61,708,Adrian High School,H,Multi-Racial/Multi-Ethnic,*,*,*,*,*,*,*,*,*,100,100,100,X,X,X,X,X,*,*,*,*
Adrian SD 61,708,Adrian High School,H,Male,27.3,45.5,27.3,18.2,45.5,36.4,45.5,45.5,9.1,100,100,100,--,--,--,--,--,--,--,--,--
Adrian SD 61,708,Adrian High School,H,Female,55.6,33.3,11.1,11.1,55.6,33.3,33.3,66.7,0,100,100,100,--,--,--,--,--,--,--,--,--
Adrian SD 61,708,Adrian High School,H,Talented and Gifted,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Adrian SD 61,708,Adrian High School,H,Students with Disabilities,*,*,*,*,*,*,*,*,*,100,100,100,X,X,X,X,X,*,*,*,*
Adrian SD 61,708,Adrian High School,H,Migrant,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Adrian SD 61,708,Adrian High School,H,Limited English Proficient,*,*,*,*,*,*,*,*,*,100,100,100,X,X,X,X,X,*,*,*,*
Adrian SD 61,708,Adrian High School,H,Economically Disadvantaged,22.2,33.3,44.4,11.1,22.2,66.7,33.3,55.6,11.1,100,100,100,X,X,M,M,M,--,--,--,--
Adrian SD 61,708,Adrian High School,H,All Students,40,40,20,15,50,35,40,55,5,100,100,100,M,M,M,M,M,70.6,80,52.9,65
Alsea SD 7J,16,Alsea Elementary School,E,American Indian/Alaskan Native,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Alsea SD 7J,16,Alsea Elementary School,E,Asian/Pacific Islander,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Alsea SD 7J,16,Alsea Elementary School,E,Black,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Alsea SD 7J,16,Alsea Elementary School,E,Hispanic,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Alsea SD 7J,16,Alsea Elementary School,E,White,40.5,37.8,21.6,27,56.8,16.2,*,*,*,97.4,97.4,80,M,M,M,M,M,55.3,88.6,55.3,91.4
Alsea SD 7J,16,Alsea Elementary School,E,Multi-Racial/Multi-Ethnic,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Alsea SD 7J,16,Alsea Elementary School,E,Male,40,40,20,40,50,10,*,*,*,100,100,100,--,--,--,--,--,--,--,--,--
Alsea SD 7J,16,Alsea Elementary School,E,Female,41.2,35.3,23.5,11.8,64.7,23.5,*,*,*,94.4,94.4,66.7,--,--,--,--,--,--,--,--,--
Alsea SD 7J,16,Alsea Elementary School,E,Talented and Gifted,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alsea SD 7J,16,Alsea Elementary School,E,Students with Disabilities,*,*,*,*,*,*,*,*,*,100,100,--,X,X,X,X,X,< 5,*,< 5,*
Alsea SD 7J,16,Alsea Elementary School,E,Migrant,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alsea SD 7J,16,Alsea Elementary School,E,Limited English Proficient,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Alsea SD 7J,16,Alsea Elementary School,E,Economically Disadvantaged,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,--,--,--,--
Alsea SD 7J,16,Alsea Elementary School,E,All Students,40.5,37.8,21.6,27,56.8,16.2,*,*,*,97.4,97.4,80,M,M,M,M,M,56.4,88.6,53.8,91.4
Alsea SD 7J,17,Alsea High School,H,American Indian/Alaskan Native,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Alsea SD 7J,17,Alsea High School,H,Asian/Pacific Islander,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Alsea SD 7J,17,Alsea High School,H,Black,*,*,*,*,*,*,*,*,*,100,100,--,X,X,X,X,X,*,*,*,*
Alsea SD 7J,17,Alsea High School,H,Hispanic,--,--,--,--,--,--,--,--,--,--,--,--,X,X,X,X,X,*,*,*,*
Alsea SD 7J,17,Alsea High School,H,White,12.5,40.6,46.9,9.4,31.3,59.4,17.6,47.1,35.3,100,100,100,M,M,M,M,M,32,60,44,53.3
